file_path,detected_name,unicode_sequence,codepoints_hex,status,method
all/Man Artist Medium Dark Skin Tone.svg,Man Artist Medium Dark Skin Tone,👨🏾‍🎨,1F468-1F3FE-200D-1F3A8,mapped,profession|fq-correction
all/Kiss Woman Woman Light Skin Tone Medium Dark Skin Tone.svg,Kiss Woman Woman Light Skin Tone Medium Dark Skin Tone,👩🏻‍❤️‍💋‍👩🏾,1F469-1F3FB-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FE,mapped,lookup+tone+gender|fq-correction
all/Person Lifting Weights.svg,Person Lifting Weights,🏋️,1F3CB-FE0F,mapped,activity-person|fq-correction
all/Kiss Man Man Dark Skin Tone Medium Skin Tone.svg,Kiss Man Man Dark Skin Tone Medium Skin Tone,👨🏿‍❤️‍💋‍👨🏽,1F468-1F3FF-200D-2764-FE0F-200D-1F48B-200D-1F468-1F3FD,mapped,lookup+tone+gender|fq-correction
all/Man Mage.svg,Man Mage,🧙‍♂️,1F9D9-200D-2642-FE0F,mapped,lookup++gender
all/Gem Stone.svg,Gem Stone,💎,1F48E,mapped,lookup
all/Kiss Person Woman No Skin Tone Dark Skin Tone.svg,Kiss Person Woman No Skin Tone Dark Skin Tone,🧑🏿‍❤️‍💋‍👩,1F9D1-1F3FF-200D-2764-FE0F-200D-1F48B-200D-1F469,mapped,special: kiss (PERSON WOMAN)
all/Woman Firefighter Dark Skin Tone.svg,Woman Firefighter Dark Skin Tone,👩🏿‍🚒,1F469-1F3FF-200D-1F692,mapped,profession|fq-correction
all/Person With Veil.svg,Person With Veil,👰,1F470,mapped,translation-pass
all/Abacus.svg,Abacus,🧮,1F9EE,mapped,lookup
all/Man Feeding Baby Dark Skin Tone.svg,Man Feeding Baby Dark Skin Tone,👨🏿‍🍼,1F468-1F3FF-200D-1F37C,mapped,auto-cldr-exact
all/Technologist Medium Dark Skin Tone.svg,Technologist Medium Dark Skin Tone,🧑🏾‍💻,1F9D1-1F3FE-200D-1F4BB,mapped,translation-pass
all/Racing Car.svg,Racing Car,🏎️,1F3CE-FE0F,mapped,lookup|fq-correction
all/Megaphone.svg,Megaphone,📣,1F4E3,mapped,auto-cldr-exact
all/Kiss Woman Woman Medium Light Skin Tone.svg,Kiss Woman Woman Medium Light Skin Tone,👩🏼‍❤️‍💋‍👩🏼,1F469-1F3FC-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FC,mapped,lookup+tone+gender|fq-correction
all/Locked With Key.svg,Locked With Key,🔐,1F510,mapped,auto-cldr-exact
all/Woman Supervillain Dark Skin Tone.svg,Woman Supervillain Dark Skin Tone,🦹🏿‍♀️,1F9B9-1F3FF-200D-2640-FE0F,mapped,lookup+tone+gender
all/Squinting Face With Tongue.svg,Squinting Face With Tongue,😝,1F61D,mapped,auto-cldr-exact
all/Woman Facepalming Light Skin Tone.svg,Woman Facepalming Light Skin Tone,🤦🏻‍♀️,1F926-1F3FB-200D-2640-FE0F,mapped,lookup+tone+gender
all/Page Facing Up.svg,Page Facing Up,📄,1F4C4,mapped,lookup
all/Flag Slovenia.svg,Flag Slovenia,🇸🇮,1F1F8-1F1EE,mapped,flag
all/Couple With Heart Woman Person Medium Skin Tone.svg,Couple With Heart Woman Person Medium Skin Tone,👩🏽‍❤️‍🧑,1F469-1F3FD-200D-2764-FE0F-200D-1F9D1,mapped,special: couple-with-heart (WOMAN PERSON)
all/Vulcan Salute.svg,Vulcan Salute,🖖,1F596,mapped,auto-cldr-exact
all/Woman Running Medium Dark Skin Tone.svg,Woman Running Medium Dark Skin Tone,🏃🏾‍♀️,1F3C3-1F3FE-200D-2640-FE0F,mapped,lookup+tone+gender
all/Beaming Face With Smiling Eyes.svg,Beaming Face With Smiling Eyes,😁,1F601,mapped,auto-cldr-exact
all/Woman Medium Skin Tone.svg,Woman Medium Skin Tone,👩🏽,1F469-1F3FD,mapped,auto-cldr-exact
all/Two Hump Camel.svg,Two Hump Camel,🐫,1F42B,mapped,auto-cldr-exact
all/Croissant.svg,Croissant,🥐,1F950,mapped,lookup
all/Flag Slovakia.svg,Flag Slovakia,🇸🇰,1F1F8-1F1F0,mapped,flag
all/Kiss Person Woman Medium Skin Tone Dark Skin Tone.svg,Kiss Person Woman Medium Skin Tone Dark Skin Tone,🧑🏽‍❤️‍💋‍👩🏿,1F9D1-1F3FD-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FF,mapped,special: kiss (PERSON WOMAN)
all/Kiss Man Light Skin Tone Woman Medium Light Skin Tone.svg,Kiss Man Light Skin Tone Woman Medium Light Skin Tone,👨🏼‍❤️‍💋‍👩🏻,1F468-1F3FC-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FB,mapped,special: kiss (MAN WOMAN)
all/Waving Hand Dark Skin Tone.svg,Waving Hand Dark Skin Tone,👋🏿,1F44B-1F3FF,mapped,gesture
all/Woman Dancing Medium Skin Tone.svg,Woman Dancing Medium Skin Tone,💃🏽,1F483-1F3FD,mapped,activity-person|fq-correction
all/Moai.svg,Moai,🗿,1F5FF,mapped,auto-cldr-exact
all/Jeans.svg,Jeans,👖,1F456,mapped,lookup
all/Gemini.svg,Gemini,♊,264A,mapped,lookup
all/Flag European Union.svg,Flag European Union,🇪🇺,1F1EA-1F1FA,mapped,flag
all/Teacher Medium Light Skin Tone.svg,Teacher Medium Light Skin Tone,🧑🏼‍🏫,1F9D1-1F3FC-200D-1F3EB,mapped,profession|fq-correction
all/Man Farmer Medium Light Skin Tone.svg,Man Farmer Medium Light Skin Tone,👨🏼‍🌾,1F468-1F3FC-200D-1F33E,mapped,profession|fq-correction
all/Woman With Veil Medium Dark Skin Tone.svg,Woman With Veil Medium Dark Skin Tone,👰🏾‍♀️,1F470-1F3FE-200D-2640-FE0F,mapped,translation-pass
all/Keycap 10.svg,Keycap 10,🔟,1F51F,mapped,auto-cldr-exact
all/Raising Hands Dark Skin Tone.svg,Raising Hands Dark Skin Tone,🙌🏿,1F64C-1F3FF,mapped,auto-cldr-exact
all/Flag Mozambique.svg,Flag Mozambique,🇲🇿,1F1F2-1F1FF,mapped,flag
all/Woman Light Skin Tone Curly Hair.svg,Woman Light Skin Tone Curly Hair,👩🏻‍🦱,1F469-1F3FB-200D-1F9B1,mapped,hair-attr
all/Man Scientist Medium Dark Skin Tone.svg,Man Scientist Medium Dark Skin Tone,👨🏾‍🔬,1F468-1F3FE-200D-1F52C,mapped,profession|fq-correction
all/Couple With Heart Man Man Medium Light Skin Tone.svg,Couple With Heart Man Man Medium Light Skin Tone,👨🏼‍❤️‍👨🏼,1F468-1F3FC-200D-2764-FE0F-200D-1F468-1F3FC,mapped,lookup+tone+gender|fq-correction
all/Boy Light Skin Tone.svg,Boy Light Skin Tone,👦🏻,1F466-1F3FB,mapped,lookup+tone
all/Kiss Man Dark Skin Tone Woman Medium Dark Skin Tone.svg,Kiss Man Dark Skin Tone Woman Medium Dark Skin Tone,👨🏾‍❤️‍💋‍👩🏿,1F468-1F3FE-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FF,mapped,special: kiss (MAN WOMAN)
all/Singer.svg,Singer,🧑‍🎤,1F9D1-200D-1F3A4,mapped,profession|fq-correction
all/House.svg,House,🏠,1F3E0,mapped,lookup|fq-correction
all/Chess Pawn.svg,Chess Pawn,♟️,265F-FE0F,mapped,auto-cldr-exact
all/Man Technologist Dark Skin Tone.svg,Man Technologist Dark Skin Tone,👨🏿‍💻,1F468-1F3FF-200D-1F4BB,mapped,translation-pass
all/Person Pouting Medium Dark Skin Tone.svg,Person Pouting Medium Dark Skin Tone,🙎🏾,1F64E-1F3FE,mapped,auto-cldr-exact
all/Tennis.svg,Tennis,🎾,1F3BE,mapped,auto-cldr-exact
all/Raised Fist Medium Light Skin Tone.svg,Raised Fist Medium Light Skin Tone,✊🏼,270A-1F3FC,mapped,lookup+tone
all/Prince Dark Skin Tone.svg,Prince Dark Skin Tone,🤴🏿,1F934-1F3FF,mapped,lookup+tone
all/Person Climbing Medium Skin Tone.svg,Person Climbing Medium Skin Tone,🧗🏽,1F9D7-1F3FD,mapped,translation-pass
all/Kiss Woman Man Medium Skin Tone Light Skin Tone.svg,Kiss Woman Man Medium Skin Tone Light Skin Tone,👩🏽‍❤️‍💋‍👨🏻,1F469-1F3FD-200D-2764-FE0F-200D-1F48B-200D-1F468-1F3FB,mapped,special: kiss (WOMAN MAN)
all/Bed.svg,Bed,🛏️,1F6CF-FE0F,mapped,lookup|fq-correction
all/Pinching Hand Light Skin Tone.svg,Pinching Hand Light Skin Tone,🤏🏻,1F90F-1F3FB,mapped,lookup+tone
all/Kiss Person Woman Dark Skin Tone.svg,Kiss Person Woman Dark Skin Tone,🧑🏿‍❤️‍💋‍👩,1F9D1-1F3FF-200D-2764-FE0F-200D-1F48B-200D-1F469,mapped,special: kiss (PERSON WOMAN)
all/Flag Jamaica.svg,Flag Jamaica,🇯🇲,1F1EF-1F1F2,mapped,flag
all/Woman Construction Worker Light Skin Tone.svg,Woman Construction Worker Light Skin Tone,👷🏻‍♀️,1F477-1F3FB-200D-2640-FE0F,mapped,lookup+tone+gender
all/Woman Biking Medium Skin Tone.svg,Woman Biking Medium Skin Tone,🚴🏽‍♀️,1F6B4-1F3FD-200D-2640-FE0F,mapped,activity-person
all/Green Heart.svg,Green Heart,💚,1F49A,mapped,lookup
all/Stop Sign.svg,Stop Sign,🛑,1F6D1,mapped,auto-cldr-exact
all/Person Rowing Boat Medium Dark Skin Tone.svg,Person Rowing Boat Medium Dark Skin Tone,🚣🏾,1F6A3-1F3FE,mapped,activity-person
all/Couple With Heart Woman Person Medium Dark Skin Tone Light Skin Tone.svg,Couple With Heart Woman Person Medium Dark Skin Tone Light Skin Tone,👩🏾‍❤️‍🧑🏻,1F469-1F3FE-200D-2764-FE0F-200D-1F9D1-1F3FB,mapped,special: couple-with-heart (WOMAN PERSON)
all/Middle Finger Medium Light Skin Tone.svg,Middle Finger Medium Light Skin Tone,🖕🏼,1F595-1F3FC,mapped,auto-cldr-exact
all/Couple With Heart Man Woman.svg,Couple With Heart Man Woman,👨‍❤️‍👩,1F468-200D-2764-FE0F-200D-1F469,mapped,special: couple-with-heart (MAN WOMAN)
all/Pilot.svg,Pilot,🧑‍✈️,1F9D1-200D-2708-FE0F,mapped,profession
all/Man Gesturing Ok Medium Skin Tone.svg,Man Gesturing Ok Medium Skin Tone,🙆🏽‍♂️,1F646-1F3FD-200D-2642-FE0F,mapped,auto-cldr-exact
all/Woman Singer Medium Light Skin Tone.svg,Woman Singer Medium Light Skin Tone,👩🏼‍🎤,1F469-1F3FC-200D-1F3A4,mapped,profession|fq-correction
all/Flag North Korea.svg,Flag North Korea,🇰🇵,1F1F0-1F1F5,mapped,flag
all/Ice Skate.svg,Ice Skate,⛸️,26F8-FE0F,mapped,lookup|fq-correction
all/Woman Walking Medium Skin Tone.svg,Woman Walking Medium Skin Tone,🚶🏽‍♀️,1F6B6-1F3FD-200D-2640-FE0F,mapped,lookup+tone+gender
all/Locked With Pen.svg,Locked With Pen,🔏,1F50F,mapped,auto-cldr-exact
all/Closed Book.svg,Closed Book,📕,1F4D5,mapped,lookup
all/Flag Sweden.svg,Flag Sweden,🇸🇪,1F1F8-1F1EA,mapped,flag
all/Knot.svg,Knot,🪢,1FAA2,mapped,lookup
